profile_index,Wohnsitzdauer,Alter,Unterhaltspflichtige_Personen,Wohnsituation,Beschäftigt_seit,Beruf,Familienstand_Geschlecht,Telefon,Ausländischer_Arbeiter
0,0.7825,0.829,0.7535,0.7925,0.7595,0.792,0.7985,0.7655,0.781
1,0.211,0.2885,0.2145,0.217,0.242,0.2165,0.2045,0.2445,0.222
2,0.2195,0.2685,0.2185,0.2155,0.246,0.214,0.203,0.243,0.228
3,0.809,0.742,0.796,0.7975,0.7615,0.8015,0.8035,0.7695,0.7875
4,0.2285,0.081,0.219,0.22,0.2475,0.219,0.2025,0.251,0.2325
5,0.2245,0.1175,0.2115,0.2175,0.2415,0.211,0.2085,0.249,0.2225
6,0.2115,0.2925,0.205,0.2105,0.2275,0.201,0.185,0.2285,0.214
7,0.802,0.9685,0.7745,0.801,0.7555,0.792,0.804,0.7675,0.7845
8,0.7845,0.712,0.761,0.7855,0.7495,0.7815,0.7955,0.756,0.775
9,0.8,0.908,0.793,0.7975,0.767,0.8,0.8005,0.7665,0.784
